,brand,city,title,desc,image_count,created_at,price
23,Samsung::سامسونگ,Karaj,A3 2015,گوشی در حده نو کلا 2 هفتس خریدمش.با تشکر از سایت دیوار,1,Tuesday 12PM,649944
28,Apple::اپل,Qom,اپل 5s ٣٢ گیگ بسیار تمیز در حد,گوشی بسیار تمیز در حد قیمت مقطوع میباشد لطفا تقاضای تخفیف نکنید,2,Saturday 04AM,875872
32,Apple::اپل,Shiraz,اقساط٢٤ماهه بدون پیش پرداخت,اقساط ٢٤ماهه بدون پیش پرداخت,0,Sunday 03PM,635723
36,Sony::سونی,Qom,سونی مدل acro s گوشی  هواوی y300,"گوشی سونی مدل acro s دوربین 12 فیلمبرداری HD ,4.3 اینچ، خروجی HDMI, سفید، بدون تعمیر, 270 هزار
گوشی هواوی مدل y300 دوربین 5، بدون تعمیر،خیلی تمیز  160 هزار تومان",2,Thursday 06AM,56553
44,HTC::اچ‌تی‌سی,Tehran,ّگوشی موبایل htc desire610 جهت معاوضه,"معاوضه با ایفون 4
گوشیم سالم سالم 4g
بدون هیچ ایرادی دارای کارتن وشارژر وفندزفری
با آیفون 4معاوضه میکنم در صورت لزوم سر هم میدم",0,Monday 08PM,412181
51,Samsung::سامسونگ,Isfahan,Apple 6s,"گوشی اپل 6s نو 128 گیگ. پلمپ کارتن هنوز باز نشده.قصد فروش دارم و با گوشی دیگه ای معاوضه نمیشه.
با تشکر از دیوار",1,Saturday 04PM,2144286
57,HTC::اچ‌تی‌سی,Tehran,HTC one 801e,64 گیگ حافظه اندروید 5 هیچ خط و خشی روش نداره در حد نو بسیار گوشيه خوبیه اگر خواستید زنگ نزنید اس اس بدین جعبه و هنزفري و سه قاب و شارژر هم داره,2,Tuesday 08AM,713313
59,Samsung::سامسونگ,Ahvaz,s6 edge,فقط قابل معاوضه با گوشی .....,0,Wednesday 12PM,1426194
61,Samsung::سامسونگ,Ahvaz,گوشی سامسونگ 7262,کاملا سالم . بدون خطو خش . دوربین عقب 5 . دو سیمکارته . دوربین جلو نداره . یه قاب هم داره.  واتساپ جوابگو هستم .,1,Wednesday 06PM,431575
76,HTC::اچ‌تی‌سی,Tehran,htc one e9 plos حتما بخون,در حد نو هست گوشی تاچ یه مقدار مشکل داره که باز کردم پشتش پشیمون شدم درست کنم همبنجوری میفروشم ۱۰۰هم زیاد زیاد هزینه داره نونو هست گوشی گلد هست فروش به بالا ترین پیشنهاد معاوضه هم دارم اس بدید تلگرامم هستم,0,Thursday 12PM,536878
77,Huawei::هوآوی,Tehran,گوشی هواوی G700-U10  در حد,گوشی هواوی g700 سری u ۱۰ به شرط سالم بودن با کارتن و لوازم زیر قیمت فوری گوشی واقعا سالمه,2,Thursday 01PM,422703
83,Samsung::سامسونگ,Tehran,گوشی سامسونگ,گوشی درحد کم کار,1,Friday 08PM,532538
90,Samsung::سامسونگ,Isfahan,گوشی 3250 عتیقه,"گوشی سالم و تمیز.فابریک.همرا با کارتن و شارژر و کابل اتصال و مموری فابریک خودش
یاعلی",4,Monday 05PM,346911
107,Apple::اپل,Tehran,ایفون 6s 64G مشکی,"زیر قیمت میدم بخاطر دوربین پشتش
دوربین پشت خرابه دوربین جلو کار میکنه
بدون خط و خشه
هنزفری باز نشده 

قیمت رو با اس ام اس پیشنهاد بدین",1,Wednesday 09AM,1194265
113,Sony::سونی,Tehran,گوشی سونی z2,سالم با خط و خش جزیی به دلیل داشتن بامپر،بقیه چیزاش سالم،با مشتری واقعی کنار میام،فقط تماس یا تلگرام,2,Thursday 09PM,673563
115,HTC::اچ‌تی‌سی,Shiraz,گوشی موبایل htc,این گوشی سالم هست برای بقیه مشخصات زنگ بزنید,2,Friday 01PM,297786
124,Sony::سونی,Tehran,گوشی سونی زد خراب,فروش گوشی زد هارد سوخته.بقیه قطعات در حد نو.قیمت$NUM,3,Saturday 05PM,255239
129,Apple::اپل,Tehran,iphone 6,"این گوشی آی کلود شده و تمامه قطعاتش سالمه ، به جز lcd , که شکسته شده ، باطری و دوربین و فریم دورش اکبند ، به درد کسی میخوره که قطعاتشو بریزه تو گوشیش ،",2,Tuesday 11AM,403453
130,Samsung::سامسونگ,Tehran,سامسونگ اس ۷ ادج ۲ سیم مشکی,"سامسونگ اس ۷ ادج مشکی ۲ سیم ۴۰ روز کارکرد 
با گارانتی 
معاوضه ندارم فقط فروش 
کاغذ خرید موجود میباشد که ۴۰ روز خریداری شده 

بدون کوچکترین خط و خش",1,Tuesday 05PM,1386576
133,Samsung::سامسونگ,Qom,سامسونگ اس ۶ ادج,"باسلام گوشی تمیز برای تعویض یا فروش
مشتری واقعی تماس بگیره",0,Tuesday 09PM,1040322
151,Samsung::سامسونگ,Karaj,ایفون 6s plus 64 (اکبند),"سلام گوشی رو کمتر از یه هفتس که خریدم به عکسا توجه کنین لوازم  پلمپ کارخونس  گوشی هم  یه نقطه ریز نداره  یعنی اصلا استفاده نشده 
گلس پشت و رو  و یه قاب۹۰ تومنی هم براش گرفتم  که اونارو هم تقدیم میکنم 
فقط خواهشا قیمت گوشی کارکرده رو ندینبازم میگم گوشی پلمپ حساب میشه واین که دلال ومغازه دار تماس نگیره   خلاصه گوشی با گوشی پلمپ مغازه فرقی نداره",3,Monday 04AM,1528476
155,Apple::اپل,Tehran,5s 32 G Ll/A(black),"درحد بدون خط و خش و ضربه 
تعویض با موتور(ویو)",1,Tuesday 10AM,1231245
162,Samsung::سامسونگ,Shiraz,گوشی سامسونگ 3600iعالی,سلام باکارتون وشارژر سالم وباطری نوبه خریدارواقعی تخفیف داده میشود95000تومان,3,Thursday 09AM,206252
180,Apple::اپل,Tehran,گوشی iphone 6s,تمیز ، قیمت توافقی,2,Tuesday 01PM,1568538
190,Lenovo::لنوو,Karaj,جی ۷۳۰,گوشی تمیز و سالم فقط یه مقدار دیر شارژ میشه فقط همین با مشتری کنار میام,2,Thursday 06AM,248702
197,Nokia::نوکیا,Tehran,نوکیا مدل٦٣٠٠,"یک عددگوشی نوکیا سالم
قیمت هم لطفا اعلام کنید",3,Friday 09PM,51927
202,Samsung::سامسونگ,Tehran,سامسونگ A3در حد,گوشی سالم دوهفته است خریدم بدون خطو خش پشت گلد جلومشکی$NUMبا اپل فایو اس ۳۲ هم معاوضه میکنم,0,Saturday 12PM,990605
203,Apple::اپل,Ahvaz,6 64g,گوشی ایفون 6 ، قسمت بالای تاج شکستگی جزئی داره و blacklist شده انگلیسه ، شارژر و کارتن و کابل نداره .تماس فقط و فقط whatsapp,2,Saturday 12PM,781288
251,Apple::اپل,Tehran,آیفون 5حافظه16,گوشی آیفون اصلی فایو ١٦ درحد از اول دست خودم بوده خیلی تمیزه و تا حالا باز و تعمیر نشده ..بهمراه جعبه و کلیه متعلقات...لطفا فقط تماس بگیرید ..اس.ام.اس .پاسخگو نمیباشم,2,Monday 04PM,729484
278,Samsung::سامسونگ,Shiraz,سامسونگS4 mini duel sim,دوسال کارکرد.تمیز و بدون باز شدن و تعمیری.دو سیمکارته.دارای کارتن و شارژر و هندزفری اصلی خودش,2,Saturday 05PM,369339
289,Huawei::هوآوی,Tehran,!!!!جشنواره هواوی p8 lite 16Gb!!!!,"گوشی کاملا نو و حتی کارتن باز نشده تحویل میگردد
رنگ گلد با گارانتی ۱۸ ماهه هواوی
قیمت$NUMتومان
۲۰تومن زیره قیمت دیجی کالا
فقط تا آخره تابستان مهلت باقیست...",0,Wednesday 01AM,765697
302,Apple::اپل,Isfahan,Iphone 5C در حد نو!,١٦ گیگ.. تمیز و ضربه نخورده! تعمیر هم نشده! تضمینی! قیمت ٦٥٠،جای تخفیف هم داره !!,4,Tuesday 06PM,751534
303,ZTE::زدتی‌ای,Isfahan,برند G-Five,"موبایل از قیمت 130 هزار تومان تا 400 هزار تومان با گارانتی یکساله و 72 ساعت وارانتی
 با برند جدید G-five 
همه موبایل ها دارای فلش و اندروید 4.4 به بالا هست
که بالاترین اندروید 6 میباشد که قیمت گوشی560 هزار تومان میباشد",1,Tuesday 11PM,374779
304,Apple::اپل,Tehran,ایفون فایو اس  ١٦گیگ دو عدد,دوعدد ایفون فایو اس ١٦گیگ گلد و سفید فوری فروشی.گوشی ها رفرش نیستن,2,Thursday 04PM,819647
305,Samsung::سامسونگ,Mashhad,اس4 مینی,"باسلام یه اس4مینی دارم تاچش شکسته خیلی سالم و بی خط و خشه 
فقط. تاچش شکسته اگه کسی یه گوشی اوراقی این مدل داره میخرم اگر هم کسی منصفانه بخواد میفروشمش همه چیزش هم سالمه تمیز هم هست رنگ قهوهای",0,Friday 12AM,129900
321,Apple::اپل,Shiraz,معاوضه گرند پرایم با فایو اس,گوشیم سالمه درجه یک در حد نوبی خط و خش با فایو اس ۳۲ یا ۶۴ معاوضه میکنم,0,Saturday 07AM,785866
326,Nokia::نوکیا,Shiraz,Lumia830_4G,تمیز شیک در حد نو هست,2,Sunday 02PM,244080
